MDHMethod,count
ANNI-,556
CMMI-,1100
CMeMI-,1055
CTMMI-,1111
FIII-,1142
FKMI-K_1&Fuzzifier_1.25,4
FKMI-K_1&Fuzzifier_1.5,15
FKMI-K_1&Fuzzifier_1.75,21
FKMI-K_1&Fuzzifier_2.0,19
FKMI-K_10&Fuzzifier_1.5,3
FKMI-K_10&Fuzzifier_1.75,3
FKMI-K_10&Fuzzifier_2.0,16
FKMI-K_11&Fuzzifier_1.25,2
FKMI-K_11&Fuzzifier_1.5,11
FKMI-K_11&Fuzzifier_1.75,6
FKMI-K_11&Fuzzifier_2.0,17
FKMI-K_12&Fuzzifier_1.25,5
FKMI-K_12&Fuzzifier_1.5,11
FKMI-K_12&Fuzzifier_1.75,6
FKMI-K_12&Fuzzifier_2.0,8
FKMI-K_13&Fuzzifier_1.25,4
FKMI-K_13&Fuzzifier_1.5,8
FKMI-K_13&Fuzzifier_1.75,4
FKMI-K_13&Fuzzifier_2.0,11
FKMI-K_14&Fuzzifier_1.25,1
FKMI-K_14&Fuzzifier_1.5,9
FKMI-K_14&Fuzzifier_1.75,11
FKMI-K_14&Fuzzifier_2.0,15
FKMI-K_15&Fuzzifier_1.25,11
FKMI-K_15&Fuzzifier_1.5,4
FKMI-K_15&Fuzzifier_1.75,9
FKMI-K_15&Fuzzifier_2.0,9
FKMI-K_16&Fuzzifier_1.25,4
FKMI-K_16&Fuzzifier_1.5,7
FKMI-K_16&Fuzzifier_1.75,9
FKMI-K_16&Fuzzifier_2.0,5
FKMI-K_17&Fuzzifier_1.25,4
FKMI-K_17&Fuzzifier_1.5,7
FKMI-K_17&Fuzzifier_1.75,7
FKMI-K_17&Fuzzifier_2.0,8
FKMI-K_18&Fuzzifier_1.25,4
FKMI-K_18&Fuzzifier_1.5,8
FKMI-K_18&Fuzzifier_1.75,11
FKMI-K_18&Fuzzifier_2.0,15
FKMI-K_19&Fuzzifier_1.25,4
FKMI-K_19&Fuzzifier_1.5,8
FKMI-K_19&Fuzzifier_1.75,10
FKMI-K_19&Fuzzifier_2.0,18
FKMI-K_2&Fuzzifier_1.25,4
FKMI-K_2&Fuzzifier_1.5,16
FKMI-K_2&Fuzzifier_1.75,10
FKMI-K_2&Fuzzifier_2.0,19
FKMI-K_20&Fuzzifier_1.25,4
FKMI-K_20&Fuzzifier_1.5,6
FKMI-K_20&Fuzzifier_1.75,9
